persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17516149741246,policy_rate_decision,4.0,3.5,-0.5,48,Female,Bachelor's Degree,5946185.164207159,Java,Yogyakarta,Rural,7,5,8,3.1-4 Juta,3972946.13480099
P17516149746413,current_inflation_target,4.0,5.0,1.0,56,Female,Senior High School,6558036.9605094595,Java,West Java,Urban,5,5,3,3.1-4 Juta,3905185.3310522437
P17516149741224,media_narrative_negative,5.0,6.0,1.0,48,Male,Senior High School,2885616.4029445206,Sumatra,Bengkulu,Urban,4,5,5,1-2 Juta,1154320.2183841947
P17516149748818,policy_rate_decision,4.0,3.5,-0.5,56,Female,Bachelor's Degree,4975550.537862259,Sulampua,Southeast Sulawesi,Urban,7,8,3,2.1-3 Juta,2326010.4889848554
P17516149741414,media_narrative_positive,3.8,4.8,1.0,22,Male,Bachelor's Degree,9897657.71934643,Java,Central Java,Rural,7,5,6,4.1-5 Juta,4530422.152142937
P17516149747525,full_policy_context,3.8,5.0,1.2000000000000002,38,Male,Bachelor's Degree,10630682.554931242,Sumatra,Lampung,Urban,6,7,7,3.1-4 Juta,3406627.7878621947
P17516149742018,policy_rate_decision,5.0,4.0,-1.0,40,Female,Senior High School,7327598.608274864,Sumatra,West Sumatra,Rural,5,4,7,6.1-7 Juta,6884706.467483051
P17516149747346,media_narrative_negative,3.8,5.0,1.2000000000000002,46,Male,Bachelor's Degree,16051038.850209584,Java,Yogyakarta,Urban,7,8,4,6.1-7 Juta,6560169.189111989
P17516149749417,full_policy_context,4.0,5.0,1.0,66,Female,Diploma,5494446.127702944,Java,Jakarta,Urban,5,7,8,2.1-3 Juta,2483689.3226818275
P17516149749935,control,4.0,4.0,0.0,49,Female,Senior High School,19024975.00486633,Java,West Java,Urban,6,5,3,> 8 Juta,13860473.794748366
P17516149743320,policy_rate_decision,4.0,4.0,0.0,22,Female,Senior High School,10694398.827471841,Java,Banten,Urban,4,6,6,6.1-7 Juta,6662439.035999004
P17516149747687,control,5.0,5.0,0.0,45,Female,Senior High School,5462626.622231937,Java,East Java,Rural,5,4,4,5.1-6 Juta,5923216.625133484
P17516149748266,media_narrative_positive,3.8,4.8,1.0,43,Female,Bachelor's Degree,11297005.962893577,Sumatra,Riau,Urban,7,9,5,5.1-6 Juta,5410240.965427795
P17516149741853,media_narrative_positive,4.0,5.0,1.0,47,Male,Senior High School,8871403.303153489,Java,East Java,Rural,6,3,5,6.1-7 Juta,6697239.3998392895
P17516149745445,media_narrative_positive,3.8,4.7,0.9000000000000004,23,Female,Bachelor's Degree,10278558.544374533,Java,Central Java,Urban,8,9,7,5.1-6 Juta,5673827.080896767
P17516149744625,media_narrative_negative,5.0,6.0,1.0,40,Female,Senior High School,1626912.7455415414,Kalimantan,North Kalimantan,Rural,4,4,7,1-2 Juta,1747772.3096436558
P17516149749848,full_policy_context,5.0,5.0,0.0,23,Female,Senior High School,4514097.0465167975,Sumatra,Bengkulu,Urban,5,5,5,3.1-4 Juta,3411502.736123007
P17516149749814,policy_rate_decision,5.0,4.0,-1.0,47,Female,Senior High School,1847931.2203724342,Java,Jakarta,Urban,5,5,6,1-2 Juta,1792903.1940318865
P17516149748325,media_narrative_negative,4.0,6.0,2.0,39,Female,Bachelor's Degree,2923001.8778250804,Sumatra,Riau Islands,Rural,6,6,1,1-2 Juta,1268607.641822026
P17516149746674,full_policy_context,4.0,5.0,1.0,29,Male,Bachelor's Degree,2740110.05773707,Java,Banten,Rural,6,5,6,1-2 Juta,1105001.6341232564
P17516149745747,current_inflation_target,3.8,5.0,1.2000000000000002,70,Female,Master's Degree,8971270.103470061,Java,Central Java,Urban,8,8,4,3.1-4 Juta,3939930.412287004
P17516149747145,control,4.0,4.0,0.0,53,Female,Senior High School,7879309.493567203,Sulampua,Gorontalo,Urban,6,5,3,4.1-5 Juta,4701680.239921379
P17516149747378,full_policy_context,4.0,5.0,1.0,34,Female,Senior High School,5888344.002671264,Java,East Java,Urban,6,6,3,3.1-4 Juta,3973417.154245443
P17516149742481,policy_rate_decision,4.0,4.0,0.0,44,Female,Senior High School,5394828.937544828,Java,Yogyakarta,Urban,5,6,3,2.1-3 Juta,2672839.5632915557
P17516149744729,media_narrative_positive,5.0,5.0,0.0,36,Female,Senior High School,3964238.239592776,Java,East Java,Rural,4,3,6,3.1-4 Juta,3947209.2916212124
P17516149742629,media_narrative_negative,5.0,6.0,1.0,59,Female,Senior High School,2636279.12703064,Sulampua,Central Sulawesi,Rural,4,4,3,1-2 Juta,1458608.980017471
P17516149747899,full_policy_context,4.0,5.0,1.0,54,Male,Diploma,5788174.85095629,Java,Central Java,Rural,6,4,5,3.1-4 Juta,3852984.9869889948
P17516149742548,media_narrative_positive,4.0,5.0,1.0,39,Male,Senior High School,7122321.8965816675,Java,Jakarta,Urban,5,5,7,5.1-6 Juta,5250586.031418718
P17516149742021,full_policy_context,5.0,6.0,1.0,29,Female,Senior High School,3377569.1462354423,Java,East Java,Urban,5,5,3,2.1-3 Juta,2351315.3702780358
P17516149744461,control,5.0,5.0,0.0,26,Female,Senior High School,4776910.954429985,Java,Banten,Rural,5,4,4,3.1-4 Juta,3399081.254484036
P17516149745322,media_narrative_negative,5.0,6.0,1.0,45,Male,Senior High School,3909845.2625962202,Java,Central Java,Rural,4,4,5,3.1-4 Juta,3987600.752738825
P17516149748854,policy_rate_decision,3.8,3.5,-0.2999999999999998,42,Female,Bachelor's Degree,6362774.3309978,Java,Yogyakarta,Urban,7,8,6,3.1-4 Juta,3826603.171157296
P17516149741560,control,4.0,4.0,0.0,49,Male,Senior High School,7192786.616309831,Java,West Java,Urban,6,6,6,4.1-5 Juta,4711374.750828915
P17516149741907,full_policy_context,4.0,5.0,1.0,42,Female,Bachelor's Degree,3756443.883015765,Java,Banten,Rural,7,6,5,2.1-3 Juta,2593026.8041639132
P17516149749239,media_narrative_positive,4.0,5.0,1.0,48,Female,Diploma,7640384.990494138,Java,West Java,Urban,6,7,6,4.1-5 Juta,4323895.4844191
P17516149746970,current_inflation_target,4.0,5.0,1.0,25,Female,Senior High School,10320770.97605007,Java,West Java,Urban,5,6,7,5.1-6 Juta,5316515.660805709
P17516149749350,current_inflation_target,4.0,5.0,1.0,35,Male,Senior High School,10224614.51962873,Sulampua,Gorontalo,Urban,6,6,4,6.1-7 Juta,6443762.758303038
P17516149741389,media_narrative_positive,4.0,5.0,1.0,37,Female,Bachelor's Degree,3130181.1862543104,Sumatra,Lampung,Rural,6,5,5,1-2 Juta,1740599.159898442
P17516149744718,policy_rate_decision,4.0,4.0,0.0,22,Female,Senior High School,5706705.126084877,Java,East Java,Urban,5,5,4,3.1-4 Juta,3712204.061218797
P17516149749725,current_inflation_target,5.0,5.0,0.0,40,Female,Senior High School,2937713.2427151594,Sulampua,Maluku,Rural,4,3,4,2.1-3 Juta,2400502.382802794
P17516149745520,current_inflation_target,5.0,6.0,1.0,55,Female,Senior High School,3252664.1613945565,Java,West Java,Rural,4,3,6,2.1-3 Juta,2763438.035697275
P17516149742775,policy_rate_decision,5.0,5.0,0.0,47,Female,Senior High School,1792387.746487665,Sumatra,Aceh,Rural,5,4,6,1-2 Juta,1984092.536364925
P17516149745365,current_inflation_target,4.0,5.0,1.0,33,Male,Senior High School,8289137.091049759,Java,East Java,Urban,6,6,6,4.1-5 Juta,4915563.056483057
P17516149747145,policy_rate_decision,5.0,5.0,0.0,30,Female,Senior High School,4353753.931626901,Java,Yogyakarta,Rural,5,4,3,3.1-4 Juta,3910889.628284906
P17516149746196,control,5.0,5.0,0.0,38,Female,Senior High School,2512316.685541163,Java,Central Java,Rural,5,4,4,1-2 Juta,1904147.8043019166
P17516149742969,policy_rate_decision,5.0,5.0,0.0,29,Male,Senior High School,3448771.1889311913,Java,Central Java,Rural,5,3,7,2.1-3 Juta,2805587.9735320015
P17516149745841,full_policy_context,4.0,5.0,1.0,40,Female,Senior High School,5506445.755445933,Java,Yogyakarta,Urban,4,6,7,4.1-5 Juta,4265237.427140894
P17516149744265,policy_rate_decision,5.0,4.0,-1.0,33,Female,Senior High School,6314251.662343606,Java,Yogyakarta,Rural,6,3,6,5.1-6 Juta,5673599.140024815
P17516149745220,policy_rate_decision,3.8,3.5,-0.2999999999999998,24,Male,Master's Degree,6318501.858832982,Java,Jakarta,Urban,7,9,7,1-2 Juta,1030304.2771663618
P17516149741982,media_narrative_positive,5.0,5.0,0.0,48,Female,Senior High School,3287334.4476701277,Bali-Nusa,West Nusa Tenggara,Rural,5,4,6,3.1-4 Juta,3596144.715017773
P17516149743759,media_narrative_positive,4.0,4.8,0.7999999999999998,45,Female,Diploma,8949935.298176548,Sulampua,Papua,Urban,6,7,8,5.1-6 Juta,5834795.568255819
P17516149742565,media_narrative_positive,3.5,5.0,1.5,60,Male,Senior High School,8214502.668111671,Java,Central Java,Urban,6,5,5,4.1-5 Juta,4757593.354557699
P17516149745382,media_narrative_positive,4.0,5.0,1.0,38,Female,Senior High School,5040244.1317506395,Java,Yogyakarta,Rural,5,4,4,5.1-6 Juta,5652722.987618971
P17516149746686,media_narrative_negative,4.0,5.0,1.0,50,Male,Senior High School,6191041.202848611,Java,East Java,Urban,4,6,6,4.1-5 Juta,4437647.017523139
P17516149749866,control,3.5,4.0,0.5,41,Female,Bachelor's Degree,6405147.792673126,Java,Yogyakarta,Urban,6,9,4,2.1-3 Juta,2519830.920837432
P17516149742917,media_narrative_positive,4.0,5.0,1.0,35,Female,Senior High School,7821374.7492629485,Java,East Java,Urban,5,6,5,6.1-7 Juta,6473826.847731186
P17516149741230,media_narrative_negative,4.0,5.0,1.0,30,Female,Diploma,5480359.8635502895,Java,Banten,Rural,5,5,3,4.1-5 Juta,4169911.73990394
